WRN 2026-04-22T07:50:57.273 ui.4077    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-22T07:50:57.273 ui.4077    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-22T07:50:57.273 ui.4077    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-22T07:50:57.273 ui.4077    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-22T07:50:57.273 ui.4077    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-22T08:02:53.904 ui.2978    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-22T08:02:53.904 ui.2978    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-22T08:02:53.904 ui.2978    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-22T08:02:53.904 ui.2978    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-22T08:02:53.904 ui.2978    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-22T08:18:00.831 ui.12142   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-22T08:18:00.831 ui.12142   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-22T08:18:00.831 ui.12142   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-22T08:18:00.831 ui.12142   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-22T08:18:00.831 ui.12142   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-22T08:18:07.003 ui.12277   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-22T08:18:07.003 ui.12277   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-22T08:18:07.003 ui.12277   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-22T08:18:07.003 ui.12277   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-22T08:18:07.003 ui.12277   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-11T13:55:40.983 ui.508697  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-11T13:55:40.983 ui.508697  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-11T13:55:40.983 ui.508697  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-11T13:55:40.983 ui.508697  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-11T13:55:40.983 ui.508697  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-11T13:55:59.485 ui.509390  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-11T13:55:59.485 ui.509390  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-11T13:55:59.485 ui.509390  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-11T13:55:59.485 ui.509390  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-11T13:55:59.485 ui.509390  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-11T13:56:12.558 ui.509674  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-11T13:56:12.559 ui.509674  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-11T13:56:12.559 ui.509674  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-11T13:56:12.559 ui.509674  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-11T13:56:12.559 ui.509674  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-11T13:56:19.559 ui.509859  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-11T13:56:19.559 ui.509859  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-11T13:56:19.559 ui.509859  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-11T13:56:19.559 ui.509859  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-11T13:56:19.559 ui.509859  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T06:48:54.726 ui.8227    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T06:48:54.726 ui.8227    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T06:48:54.726 ui.8227    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T06:48:54.726 ui.8227    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T06:48:54.726 ui.8227    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T07:00:55.455 ui.326209  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T07:00:55.455 ui.326209  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T07:00:55.455 ui.326209  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T07:00:55.455 ui.326209  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T07:00:55.455 ui.326209  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T18:58:11.433 ui.297306  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T18:58:11.438 ui.297306  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T18:58:11.438 ui.297306  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T18:58:11.438 ui.297306  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T18:58:11.438 ui.297306  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T19:02:22.339 ui.315050  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
